차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
일반승용,현대자동차,GV60 스탠다드 2WD 19인치,287,148,435
일반승용,현대자동차,GV60 스탠다드 AWD 19인치,261,135,396
일반승용,현대자동차,GV60 스탠다드 AWD 20인치,251,129,380
일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치,236,122,358
일반승용,현대자동차,Electrified GV70 AWD 20인치,244,126,370
일반승용,현대자동차,Electrified GV70 AWD 19인치,260,134,394
일반승용,현대자동차,아이오닉6 스탠다드 2WD 18인치,635,272,907
일반승용,현대자동차,아이오닉6 롱레인지 2WD 18인치,686,297,983
일반승용,현대자동차,아이오닉6 롱레인지 2WD 20인치,680,294,974
일반승용,현대자동차,아이오닉6 롱레인지 AWD 18인치,686,297,983
일반승용,현대자동차,아이오닉6 롱레인지 AWD 20인치,647,277,924
일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,573,231,804
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,623,271,894
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,242,810
일반승용,현대자동차,아이오닉5 N,232,120,352
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,298,957
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치,656,296,952
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치,651,294,945
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치,624,280,904
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치,650,293,943
일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,285,918
일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,268,870
일반승용,현대자동차,Electrified G80 AWD 19인치(2025),275,142,417
일반승용,현대자동차,더뉴아이오닉5 2WD 스탠다드 19인치,561,255,816
일반승용,현대자동차,Electrified GV70 AWD 20인치(2025),250,129,379
일반승용,현대자동차,Electrified GV70 AWD 19인치(2025),266,137,403
일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,271,894
일반승용,현대자동차,아이오닉9 성능형 AWD,277,143,420
일반승용,현대자동차,아이오닉9 항속형 AWD,276,142,418
일반승용,현대자동차,아이오닉9 항속형 2WD,279,144,423
일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치(2025),248,128,376
일반승용,현대자동차,GV60 스탠다드 AWD 20인치(2025),266,137,403
일반승용,현대자동차,GV60 스탠다드 AWD 19인치(2025),277,143,420
일반승용,현대자동차,GV60 스탠다드 2WD 19인치(2025),290,150,440
일반승용,현대자동차,더 뉴 아이오닉6 2wd 롱레인지 n라인 20인치,580,300,880
일반승용,현대자동차,더 뉴 아이오닉6 awd 롱레인지 n라인 20인치,547,282,829
일반승용,현대자동차,더 뉴 아이오닉6 2wd 롱레인지 18인치,580,300,880
일반승용,현대자동차,더 뉴 아이오닉6 2wd 롱레인지 20인치,580,300,880
일반승용,현대자동차,더 뉴 아이오닉6 awd 롱레인지 18인치,580,300,880
일반승용,현대자동차,더 뉴 아이오닉6 awd 롱레인지 20인치,563,291,854
일반승용,현대자동차,더 뉴 아이오닉6 2wd 스탠다드 18인치,570,294,864
일반승용,기아,The all-new Kia Niro EV,590,258,848
일반승용,기아,EV9 롱레인지 2WD 19인치,275,142,417
일반승용,기아,EV9 롱레인지 2WD 20인치,273,141,414
일반승용,기아,EV9 롱레인지 4WD 19인치,259,133,392
일반승용,기아,EV9 롱레인지 4WD 21인치,265,137,402
일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,257,132,389
일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,617,280,897
일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,644,294,938
일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,646,295,941
일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,655,300,955
일반승용,기아,EV3 롱레인지 2WD 17인치,565,292,857
일반승용,기아,EV3 롱레인지 2WD 19인치,565,292,857
일반승용,기아,EV3 스탠다드 2WD,479,247,726
일반승용,기아,더뉴EV6 GT,232,120,352
일반승용,기아,더뉴EV6 스탠다드,582,264,846
일반승용,기아,EV9 스탠다드,242,125,367
일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,565,292,857
일반승용,기아,EV4 스탠다드 2WD 19인치,491,253,744
일반승용,기아,EV4 롱레인지 2WD 17인치,565,292,857
일반승용,기아,EV4 롱레인지 2WD 19인치,565,292,857
일반승용,기아,EV4 스탠다드 2WD 17인치,522,270,792
일반승용,기아,PV5 패신저 5인승 롱레인지,468,242,710
일반승용,기아,EV5 롱레인지 2WD,562,290,852
일반승용,르노코리아,scenic,443,229,672
일반승용,BMW,MINI Cooper SE,303,156,459
일반승용,BMW,i4 eDrive40,189,97,286
일반승용,BMW,i4 M50,172,88,260
일반승용,BMW,iX1 xDrive30,154,79,233
일반승용,BMW,i4 eDrive40 LCI,187,96,283
일반승용,BMW,iX2 eDrive20,167,86,253
일반승용,BMW,MINI Countryman SE ALL4,158,81,239
일반승용,BMW,MINI Countryman E,166,85,251
일반승용,BMW,MINI Aceman SE,306,158,464
일반승용,BMW,i4 M50 LCI,177,91,268
일반승용,BMW,MINI JCW Aceman E,151,78,229
일반승용,BMW,MINI JCW E,147,76,223
일반승용,BMW,MINI Aceman E,306,158,464
일반승용,BMW,ix1 edrive20,166,85,251
일반승용,BMW,i5 edrive 40,198,102,300
일반승용,테슬라코리아,(단종)Model 3 RWD(2024),183,94,277
일반승용,테슬라코리아,Model 3 Long Range,202,104,306
일반승용,테슬라코리아,(단종)Model Y RWD,201,87,288
일반승용,테슬라코리아,(단종)Model Y Long Range,184,95,279
일반승용,테슬라코리아,(단종)Model Y Performance,191,98,289
일반승용,테슬라코리아,Model 3 Performance,187,96,283
일반승용,테슬라코리아,(단종)Model Y Long Range 19인치,202,104,306
일반승용,테슬라코리아,Model 3 RWD,186,96,282
일반승용,테슬라코리아,New Model Y Long Range,207,107,314
일반승용,테슬라코리아,New Model Y RWD,188,97,285
일반승용,메르세데스벤츠코리아,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,78,230
